"","sourceTypeID","yearID","ageID","ageFraction"
"1","21",1990,0,0.0702685394707518
"2","21",1990,1,0.0715989590330635
"3","21",1990,10,0.039741227385234
"4","21",1990,11,0.0447113625820648
"5","21",1990,12,0.0439087108903727
"6","21",1990,13,0.0398905266588917
"7","21",1990,14,0.0322916151912683
"8","21",1990,15,0.0248920086592974
"9","21",1990,16,0.0229876156622689
"10","21",1990,17,0.0266326876972042
"11","21",1990,18,0.0225455350885741
"12","21",1990,19,0.0184302028275433
"13","21",1990,2,0.0754203616543348
"14","21",1990,20,0.0132118147143885
"15","21",1990,21,0.00817498515525376
"16","21",1990,22,0.0070492571484771
"17","21",1990,23,0.00598402851339619
"18","21",1990,24,0.00493125785333104
"19","21",1990,25,0.0040685147527393
"20","21",1990,26,0.0033523058446314
"21","21",1990,27,0.00276493763144099
"22","21",1990,28,0.00228450855490806
"23","21",1990,29,0.00188379087582292
"24","21",1990,3,0.0718514124552145
"25","21",1990,30,0.00155294815787837
"26","21",1990,4,0.0776195077715817
"27","21",1990,5,0.0704090146602262
"28","21",1990,6,0.0609389213891275
"29","21",1990,7,0.0504303890398951
"30","21",1990,8,0.0404081710082735
"31","21",1990,9,0.0397648816725441
"32","21",1991,0,0.0647908621303217
"33","21",1991,1,0.0691119161396888
"34","21",1991,10,0.0369469728300002
"35","21",1991,11,0.0366691924281553
"36","21",1991,12,0.0410077686899112
"37","21",1991,13,0.0399906934728968
"38","21",1991,14,0.0361844418122057
"39","21",1991,15,0.0289963478902701
"40","21",1991,16,0.0223515547428767
"41","21",1991,17,0.0204314534875575
"42","21",1991,18,0.0234269978426787
"43","21",1991,19,0.0196242490474583
"44","21",1991,2,0.0707973650336424
"45","21",1991,20,0.0160429336552208
"46","21",1991,21,0.0113552120514295
"47","21",1991,22,0.00699598314845917
"48","21",1991,23,0.00594877694836827
"49","21",1991,24,0.00489641947552626
"50","21",1991,25,0.0040348730704204
"51","21",1991,26,0.00332912492841316
"52","21",1991,27,0.00274307651507174
"53","21",1991,28,0.00226245484235806
"54","21",1991,29,0.00186936518123826
"55","21",1991,3,0.0745868631703399
"56","21",1991,30,0.00154146685804253
"57","21",1991,4,0.070271618211629
"58","21",1991,5,0.0741462708494198
"59","21",1991,6,0.0668996029937866
"60","21",1991,7,0.0575707510669792
"61","21",1991,8,0.0474084390591119
"62","21",1991,9,0.0377669524265221
"63","21",1992,0,0.0661609916305738
"64","21",1992,1,0.0636818072555864
"65","21",1992,10,0.0350678379201517
"66","21",1992,11,0.0340688000488084
"67","21",1992,12,0.0336099239421271
"68","21",1992,13,0.0373243506626392
"69","21",1992,14,0.0362517440751789
"70","21",1992,15,0.0324708292146438
"71","21",1992,16,0.0260201021824599
"72","21",1992,17,0.0198532265045441
"73","21",1992,18,0.017960513600663
"74","21",1992,19,0.0203782604854693
"75","21",1992,2,0.0682898042902185
"76","21",1992,20,0.0170712206311458
"77","21",1992,21,0.0137795341079204
"78","21",1992,22,0.00971123968796457
"79","21",1992,23,0.00589998065206403
"80","21",1992,24,0.00486441216344377
"81","21",1992,25,0.00400377176408187
"82","21",1992,26,0.00329945179666638
"83","21",1992,27,0.00272234054105638
"84","21",1992,28,0.00224310878501253
"85","21",1992,29,0.00185011667363621
"86","21",1992,3,0.069972363440155
"87","21",1992,30,0.00152867140738758
"88","21",1992,4,0.072899565427427
"89","21",1992,5,0.0670835850569428
"90","21",1992,6,0.0704048343950318
"91","21",1992,7,0.0631609459008463
"92","21",1992,8,0.0540857819929608
"93","21",1992,9,0.0442808837631926
"94","21",1993,0,0.0683037237333488
"95","21",1993,1,0.0649090325681877
"96","21",1993,10,0.0410549236665997
"97","21",1993,11,0.032289131159357
"98","21",1993,12,0.0311822708942508
"99","21",1993,13,0.030548956807535
"100","21",1993,14,0.0337890041204548
"101","21",1993,15,0.0324892580258535
"102","21",1993,16,0.0291003725204811
"103","21",1993,17,0.0230833353948504
"104","21",1993,18,0.0174318864396908
"105","21",1993,19,0.015605982379582
"106","21",1993,2,0.0628075441020651
"107","21",1993,20,0.0177076312230468
"108","21",1993,21,0.014647775872985
"109","21",1993,22,0.0117728596551109
"110","21",1993,23,0.00818245200036454
"111","21",1993,24,0.00482111130351937
"112","21",1993,25,0.00397479204972628
"113","21",1993,26,0.00327171381914223
"114","21",1993,27,0.00269616765109621
"115","21",1993,28,0.002224578076281
"116","21",1993,29,0.00183300075750228
"117","21",1993,3,0.0673674889226367
"118","21",1993,30,0.00151186116742917
"119","21",1993,4,0.0682697076990627
"120","21",1993,5,0.0694775014444987
"121","21",1993,6,0.0635953737391484
"122","21",1993,7,0.0663648017601734
"123","21",1993,8,0.0592450982369358
"124","21",1993,9,0.0504406628090837
"125","21",1994,0,0.0719455758350649
"126","21",1994,1,0.0668108075336099
"127","21",1994,10,0.0466112475459416
"128","21",1994,11,0.0376752436388467
"129","21",1994,12,0.029453397883499
"130","21",1994,13,0.0282453390296969
"131","21",1994,14,0.0275600064904844
"132","21",1994,15,0.0301758628053214
"133","21",1994,16,0.0290147235979076
"134","21",1994,17,0.0257237781597505
"135","21",1994,18,0.0201944062690474
"136","21",1994,19,0.0150906403060041
"137","21",1994,2,0.0638284530018794
"138","21",1994,20,0.0135106334179472
"139","21",1994,21,0.0151364555841165
"140","21",1994,22,0.0124670614159045
"141","21",1994,23,0.00988091100715538
"142","21",1994,24,0.00665885254087451
"143","21",1994,25,0.00392329230813258
"144","21",1994,26,0.00323474269611636
"145","21",1994,27,0.00266255988917136
"146","21",1994,28,0.00219417969749208
"147","21",1994,29,0.0018104197242863
"148","21",1994,3,0.0617764567185749
"149","21",1994,30,0.00149174545534048
"150","21",1994,4,0.0655293482028039
"151","21",1994,5,0.0648649906581648
"152","21",1994,6,0.0656553742289549
"153","21",1994,7,0.0597535181251962
"154","21",1994,8,0.0620485954692283
"155","21",1994,9,0.055071380763486
"156","21",1995,0,0.068855044254085
"157","21",1995,1,0.0706270943343374
"158","21",1995,10,0.0510741155271234
"159","21",1995,11,0.0429285780368433
"160","21",1995,12,0.0344905416423276
"161","21",1995,13,0.026775606939014
"162","21",1995,14,0.0255737626640878
"163","21",1995,15,0.0247017999946063
"164","21",1995,16,0.0270460095409776
"165","21",1995,17,0.02574065314054
"166","21",1995,18,0.0225856265204365
"167","21",1995,19,0.0175452454682286
"168","21",1995,2,0.0659353261088074
"169","21",1995,20,0.0131116395617363
"170","21",1995,21,0.0115905591391542
"171","21",1995,22,0.0129294945828495
"172","21",1995,23,0.0105013254671454
"173","21",1995,24,0.00807008631305279
"174","21",1995,25,0.00543835371687315
"175","21",1995,26,0.00320435456158823
"176","21",1995,27,0.0026419793476843
"177","21",1995,28,0.0021746477378147
"178","21",1995,29,0.00179212892872613
"179","21",1995,3,0.0630066370721345
"180","21",1995,30,0.00147868997044295
"181","21",1995,4,0.0603077224670624
"182","21",1995,5,0.0624838454181288
"183","21",1995,6,0.0615228277130021
"184","21",1995,7,0.0619117577191411
"185","21",1995,8,0.0560689643216725
"186","21",1995,9,0.0578855817903759
"187","21",1996,0,0.069390477572673
"188","21",1996,1,0.0675802589999651
"189","21",1996,10,0.0536671748844383
"190","21",1996,11,0.0470240530476349
"191","21",1996,12,0.039287454007366
"192","21",1996,13,0.0313449357780526
"193","21",1996,14,0.0242354213430043
"194","21",1996,15,0.0229143351106143
"195","21",1996,16,0.0221327602462559
"196","21",1996,17,0.0239865456905877
"197","21",1996,18,0.0225933336191672
